income,balance,student,default
58145.6,1073.78,No,Yes
19245.28,1238.59,Yes,Yes
13171.07,544.6,No,Yes
24289.02,1399.34,No,Yes
32909.02,29.14,Yes,No
36762.42,112.34,No,No
30299.63,901.44,Yes,Yes
38212.36,847.65,Yes,No
16825.22,488.76,No,No
52772.49,1226.98,No,Yes
32421.35,1092.17,No,Yes
48418.37,1250.46,No,Yes
38087.93,775.81,No,Yes
39608.72,1126.84,No,No
41115.99,619.8,No,No
39488.09,1828.82,Yes,Yes
42088.99,442.33,No,Yes
51243.91,1853.72,No,Yes
36138.0,852.25,Yes,Yes
42972.98,170.02,Yes,No
32320.2,1497.12,Yes,Yes
52723.84,896.27,No,Yes
24495.96,1247.07,No,Yes
57536.14,1427.36,No,Yes
32981.41,998.84,No,Yes
14434.75,548.9,No,No
35225.53,1307.33,No,Yes
24433.81,835.74,No,No
44728.66,1167.13,No,No
24812.95,0.0,No,No
27566.25,1051.58,No,Yes
8316.2,526.48,No,No
27484.59,1635.09,No,Yes
1189.72,1136.76,No,Yes
12392.49,951.39,No,Yes
43658.65,1070.6,No,Yes
43997.22,352.41,No,No
39191.33,1620.56,No,Yes
20620.44,1798.62,No,Yes
32880.67,1025.43,Yes,Yes
33468.95,1604.66,Yes,No
18067.89,560.07,No,Yes
53567.82,449.8,No,No
45218.38,855.17,No,No
30570.0,1045.76,No,No
33875.58,644.79,No,Yes
36296.2,1095.49,Yes,Yes
6286.38,983.57,Yes,No
30220.4,352.48,No,No
24421.38,1086.32,Yes,No
20158.39,1253.07,No,Yes
29767.97,918.31,No,Yes
57492.75,1392.92,No,Yes
42063.92,246.5,No,No
25899.19,1061.72,No,Yes
41153.54,269.29,Yes,Yes
52180.2,296.48,No,Yes
45848.84,530.18,No,Yes
34312.29,379.69,Yes,No
24888.8,570.3,Yes,Yes
42829.2,731.78,Yes,No
38764.91,1240.31,Yes,No
45456.19,680.02,No,No
41988.29,68.39,No,No
47514.88,1386.83,No,No
26378.57,430.46,No,Yes
51087.08,806.97,No,No
36152.39,1051.36,No,No
61194.75,931.92,No,No
24325.3,1364.64,No,Yes
56669.55,1067.07,No,Yes
36156.54,418.75,No,No
24829.04,1889.16,No,Yes
27063.41,929.37,Yes,Yes
29244.53,764.1,No,Yes
39174.1,1301.63,No,Yes
40490.06,956.03,Yes,No
25865.56,1028.48,No,Yes
33192.18,2040.86,No,Yes
62088.46,702.29,Yes,No
56557.24,681.67,No,No
39336.25,891.76,Yes,No
34023.85,1353.67,No,Yes
35117.86,106.64,Yes,No
41699.49,0.0,No,No
19876.02,551.38,Yes,No
30084.37,45.03,Yes,No
11263.09,629.87,Yes,Yes
38841.44,1078.43,No,Yes
42148.65,404.51,No,No
27072.74,145.2,No,No
54509.26,868.91,No,No
17168.96,1252.59,No,Yes
13986.63,15.49,Yes,No
36510.51,1232.12,No,Yes
47482.15,1230.71,Yes,No
55975.54,1296.87,No,No
27396.86,1424.76,No,Yes
47903.37,1900.51,No,Yes
33003.41,663.12,Yes,No
31214.67,888.37,No,No
45302.37,633.93,Yes,No
42217.03,836.33,Yes,No
12492.66,1576.84,Yes,Yes
53209.62,184.77,No,No
51923.28,418.87,No,No
25173.87,1501.53,No,Yes
38795.83,1328.77,Yes,No
40105.88,659.72,No,Yes
36993.61,1248.65,No,Yes
26177.58,1000.42,Yes,No
24559.56,1561.07,Yes,Yes
33176.19,871.41,No,Yes
49157.69,1331.48,No,Yes
40767.0,2113.34,No,Yes
28574.12,1124.68,No,Yes
43809.15,859.23,Yes,No
800.0,1184.82,Yes,Yes
48838.09,658.68,No,Yes
10314.44,1990.45,No,Yes
28683.13,922.47,No,Yes
18583.96,703.35,No,No
16249.83,431.14,No,No
48998.95,1366.11,Yes,No
27279.27,1254.84,No,Yes
38138.32,594.79,No,No
32891.22,1114.21,Yes,No
39879.29,105.67,No,No
34541.57,924.84,Yes,No
16405.73,1054.37,Yes,Yes
46804.21,1661.22,No,Yes
26931.77,462.52,No,Yes
12756.87,217.02,Yes,No
27807.23,402.24,No,Yes
53532.63,188.86,No,No
44856.41,1481.92,No,Yes
28867.03,1584.46,No,Yes
28858.95,990.26,Yes,No
29227.35,1426.12,Yes,Yes
61214.59,900.17,Yes,No
38610.87,789.36,Yes,No
39252.47,674.28,Yes,No
47257.89,685.23,Yes,No
36701.73,86.68,No,No
30062.15,963.19,No,Yes
30898.28,815.86,No,No
32562.05,1195.91,Yes,Yes
33020.57,880.61,No,No
43221.4,756.67,Yes,No
34209.8,413.97,No,No
43288.22,870.27,Yes,No
32440.48,1192.46,No,Yes
34565.76,282.33,No,No
6867.0,877.68,No,Yes
45738.06,948.1,Yes,No
38138.12,488.03,No,No
46827.46,551.02,No,No
800.0,946.92,Yes,Yes
61369.65,287.12,No,No
31655.29,1004.63,No,No
48296.83,402.28,No,No
19647.77,1349.48,No,Yes
41689.57,1966.2,No,Yes
19467.6,419.01,No,No
25197.79,1093.77,No,Yes
59044.44,483.84,No,No
30973.87,1338.89,No,Yes
36416.9,223.35,No,No
45121.09,1067.83,No,Yes
40127.91,413.1,Yes,No
35523.14,735.25,No,No
38384.48,336.65,Yes,No
65571.35,1233.15,Yes,Yes
32748.54,430.51,Yes,No
36199.06,1102.36,No,Yes
47529.58,668.93,Yes,Yes
48261.4,780.0,No,Yes
49348.42,906.84,No,No
42035.74,466.87,Yes,No
18272.74,937.13,Yes,No
55302.08,1575.61,No,Yes
18228.19,459.0,No,Yes
37553.25,1402.19,No,Yes
23457.22,1560.01,No,Yes
32661.59,440.59,No,No
37901.7,131.55,No,No
37802.94,981.43,No,No
39144.16,570.58,No,Yes
55039.07,1739.23,No,Yes
39565.79,852.21,Yes,Yes
30260.68,447.34,No,No
46375.03,280.48,No,No
49380.97,1362.57,No,Yes
17144.39,559.08,Yes,Yes
41484.52,856.57,No,Yes
42868.54,1297.7,Yes,Yes
29548.4,601.13,Yes,No
51864.8,813.15,Yes,Yes
31515.71,827.36,No,Yes
35191.81,1165.9,Yes,No
31208.74,1121.12,No,Yes
33724.78,728.9,Yes,No
18895.98,866.16,No,Yes
14311.04,655.54,Yes,No
54782.91,120.63,Yes,No
22221.08,959.97,No,Yes
20294.8,1750.64,No,Yes
4797.24,407.91,Yes,No
24995.17,461.45,Yes,Yes
15870.95,414.19,Yes,No
55416.56,1185.86,No,Yes
46984.93,1052.31,No,No
24339.14,758.68,No,Yes
63557.74,391.31,Yes,No
46610.81,880.05,No,Yes
29184.72,78.55,Yes,No
800.0,904.75,Yes,No
64071.3,1256.94,No,No
14984.27,230.15,No,Yes
11572.32,94.08,Yes,No
47155.02,1599.36,No,Yes
66055.98,539.46,No,No
51979.05,1384.84,No,Yes
41037.86,760.88,No,Yes
41449.24,757.03,No,No
44899.0,1047.43,No,Yes
43638.83,407.77,No,Yes
37267.25,899.46,No,No
34906.73,650.84,Yes,Yes
32682.2,196.63,No,Yes
23461.37,998.61,Yes,No
29773.64,708.01,Yes,No
10938.03,759.42,No,Yes
32205.44,250.0,Yes,No
20332.16,1605.15,No,Yes
18798.43,1259.45,No,Yes
35916.25,1301.74,No,No
52082.13,687.62,Yes,No
45764.59,0.0,Yes,No
12571.23,1780.02,No,Yes
20318.33,805.82,No,Yes
46064.07,473.17,Yes,No
20413.57,1036.98,Yes,Yes
30521.07,1399.92,No,Yes
40853.04,824.22,Yes,No
20602.19,1453.83,No,No
34922.39,1359.23,No,Yes
15725.1,314.71,No,No
25496.56,509.45,No,No
37781.93,1298.54,No,Yes
12271.24,0.0,No,No
39391.61,763.08,No,No
33255.09,143.26,No,No
40885.56,604.86,No,No
36503.34,690.83,No,No
51710.54,662.08,Yes,No
35187.12,568.24,No,No
27790.02,304.67,No,No
35148.08,1943.99,No,Yes
40762.97,1738.68,No,Yes
34168.65,273.27,No,No
34058.37,1600.66,No,Yes
24154.54,642.14,No,Yes
24675.89,897.86,Yes,No
14810.45,804.76,No,Yes
56851.11,516.24,No,Yes
16927.6,1311.27,No,Yes
24275.72,896.26,No,Yes
23935.6,604.86,No,No
45452.61,204.33,No,No
29583.26,403.13,No,No
50158.14,41.42,Yes,No
24534.66,841.28,Yes,No
37237.95,256.53,No,No
22375.98,706.92,No,No
62126.85,1498.1,Yes,Yes
17678.0,1415.48,Yes,Yes
37649.08,819.76,No,No
41969.68,793.25,No,No
39035.84,1744.68,No,Yes
31045.82,1087.26,Yes,Yes
31785.58,676.81,No,No
34101.31,145.59,No,No
31556.43,1025.89,No,Yes
46372.26,1236.52,No,Yes
62998.75,529.83,Yes,No
26081.73,976.23,No,Yes
15247.94,659.51,Yes,No
32339.58,746.35,Yes,No
67922.58,0.0,No,No
22798.39,728.09,No,Yes
55377.9,1304.26,No,Yes
55892.5,529.95,No,No
26133.79,860.78,No,Yes
41105.53,469.71,No,No
55234.93,1009.72,Yes,Yes
28460.57,730.64,No,No
30801.85,381.05,Yes,No
25759.12,1479.94,No,Yes
19983.19,1284.7,Yes,Yes
24857.59,542.77,No,Yes
17193.31,1076.16,No,Yes
33971.57,1095.32,No,Yes
23247.87,1146.06,No,Yes
36635.0,15.84,No,No
12766.02,1322.28,No,Yes
37929.95,559.8,No,No
44633.78,662.29,No,Yes
6926.55,2111.34,Yes,Yes
38505.79,981.39,Yes,No
49890.42,648.5,Yes,No
17384.02,0.0,Yes,No
55824.1,1507.61,No,Yes
39105.46,184.68,Yes,No
24114.26,350.0,Yes,No
32773.21,675.09,Yes,No
40963.41,1520.5,No,Yes
34530.68,1209.39,No,Yes
40702.39,759.02,No,No
21237.98,984.49,No,No
35775.77,544.96,Yes,No
14662.29,902.92,No,Yes
32033.58,870.84,No,Yes
21461.58,1303.97,Yes,Yes
23707.24,1303.2,No,Yes
50002.77,1074.31,No,No
48071.8,660.1,No,No
41641.08,1194.2,No,Yes
18948.82,790.88,Yes,No
29297.06,312.04,Yes,No
49696.08,640.3,Yes,No
35407.08,876.26,Yes,Yes
64449.9,1275.65,Yes,Yes
38762.68,746.6,No,Yes
36078.36,250.47,Yes,No
29394.31,862.82,No,No
35298.04,890.25,No,No
31483.51,925.26,No,Yes
42961.05,1280.32,No,No
46276.54,1328.23,No,Yes
23034.26,547.94,No,Yes
15762.35,537.34,No,Yes
9027.53,332.22,No,No
40292.08,1173.39,No,No
18801.4,1536.18,Yes,Yes
4803.9,682.96,No,No
38699.47,718.59,No,No
66766.13,1544.87,No,No
33436.03,1079.91,Yes,Yes
44699.95,1046.38,No,Yes
34608.36,259.31,No,No
32198.11,1163.68,Yes,Yes
45774.72,385.94,No,No
29645.61,286.83,No,No
37083.21,667.63,No,No
37807.48,552.02,No,No
24606.68,728.18,No,No
46747.87,138.35,No,No
31183.56,1299.16,Yes,Yes
23437.63,1380.84,No,Yes
40672.43,0.0,No,No
21534.13,1308.66,No,Yes
33892.85,443.31,No,No
33395.38,1249.9,Yes,No
47999.59,802.26,No,No
39848.05,849.29,No,Yes
33183.22,745.84,Yes,No
44423.55,1421.69,Yes,Yes
52058.2,235.77,Yes,No
40956.52,1129.39,No,No
33655.07,1368.09,Yes,Yes
16021.04,1181.87,Yes,Yes
19311.58,1959.85,No,Yes
29446.22,579.51,No,No
25387.94,1298.43,Yes,Yes
31023.36,784.05,Yes,No
34272.54,1431.98,Yes,Yes
40581.51,831.65,Yes,No
32576.76,647.75,Yes,No
40005.47,1467.13,No,Yes
34376.9,597.6,Yes,Yes
7170.2,152.02,No,No
20989.08,585.37,No,Yes
31595.3,1134.8,No,Yes
17383.3,1508.71,No,Yes
41518.25,889.12,No,No
53932.62,1473.0,No,Yes
49771.63,178.41,No,No
30670.31,620.96,Yes,No
53398.81,695.78,Yes,No
35499.78,779.96,No,No
29021.28,876.05,No,Yes
25336.05,1169.57,No,Yes
29482.96,620.21,No,No
28339.89,902.62,No,No
35789.84,813.54,No,Yes
35658.58,387.51,No,No
33557.62,780.39,No,No
39344.44,765.88,No,Yes
49396.65,755.52,No,No
46181.2,850.73,Yes,No
13712.92,871.97,No,Yes
800.0,626.26,Yes,Yes
45978.02,1450.99,Yes,Yes
15286.94,269.68,No,No
30519.3,486.63,Yes,No
17911.2,2180.07,No,Yes
9483.99,333.28,Yes,No
40738.49,180.55,No,No
43641.85,1190.64,Yes,No
25828.08,0.0,No,No
800.0,721.57,Yes,No
26231.74,1873.33,No,Yes
38742.49,88.07,No,No
13792.76,0.0,No,No
35962.47,110.2,Yes,No
33312.81,1269.92,Yes,Yes
41243.01,1379.44,Yes,Yes
35111.84,587.43,No,Yes
20539.18,1165.85,No,Yes
49475.67,1507.85,No,No
31402.69,1699.93,Yes,Yes
33152.84,716.22,No,No
21070.01,0.0,No,No
27604.94,438.3,Yes,No
21716.39,628.92,No,No
31210.42,710.12,No,Yes
56346.06,744.5,Yes,No
15219.95,1376.59,Yes,Yes
11996.93,1451.82,Yes,Yes
53138.0,752.33,No,No
30725.25,1366.72,Yes,Yes
24593.58,1008.37,Yes,Yes
47386.21,866.57,No,No
25439.91,1273.87,Yes,Yes
57870.49,870.32,Yes,No
42558.5,1830.75,No,Yes
27009.73,139.6,Yes,No
62289.02,586.18,No,No
25438.58,774.17,No,Yes
43414.33,1047.94,No,No
37508.67,1448.7,No,No
50878.32,823.57,Yes,No
54342.87,147.42,No,Yes
33943.84,1242.9,No,Yes
23468.67,1200.55,No,Yes
39651.65,0.0,No,No
24478.31,833.53,No,No
60369.55,66.2,No,No
35337.97,513.87,No,Yes
28644.71,398.67,No,Yes
35980.08,1226.82,No,Yes
15550.38,891.88,No,Yes
20558.58,213.52,No,No
49526.92,1261.07,No,Yes
24756.0,141.82,No,No
19554.35,995.05,No,Yes
40674.34,441.62,Yes,No
49330.74,658.49,No,No
43105.68,1079.29,Yes,Yes
46801.29,1087.6,No,Yes
23423.62,1482.08,No,Yes
14554.31,795.58,Yes,Yes
53540.29,983.6,No,Yes
29213.42,623.63,No,Yes
30171.64,923.4,Yes,Yes
51231.13,1047.95,No,No
40935.44,787.82,No,Yes
39597.18,0.0,Yes,No
62391.64,995.71,No,Yes
24934.4,1011.71,No,Yes
45891.6,506.36,Yes,No
34277.38,214.1,Yes,No
37099.22,1549.27,No,Yes
53902.18,1073.09,No,No
40290.01,724.56,Yes,Yes
40696.25,285.38,Yes,No
47821.03,437.85,No,No
28649.63,1465.45,No,Yes
22324.46,901.96,No,No
19582.38,569.05,No,No
7291.7,1081.91,No,Yes
60940.63,441.44,No,No
18803.51,1561.34,No,Yes
30566.14,1489.73,No,Yes
29825.14,609.68,No,No
37616.88,531.28,No,No
44396.49,0.0,No,No
44993.13,118.71,No,No
25740.5,187.46,No,No
31288.1,900.76,Yes,Yes
37285.77,677.57,No,No
30200.21,184.62,No,No
54954.17,699.37,No,No
40065.13,1079.81,No,Yes
43318.07,1090.69,Yes,Yes
42357.85,0.0,No,No
49167.62,773.33,Yes,No
35931.28,166.23,No,No
16221.15,1271.55,No,Yes
38847.64,1214.67,Yes,Yes
24829.85,400.99,No,No
26466.84,464.83,Yes,No
41337.34,612.25,No,No
50031.98,0.0,No,No
33800.7,997.88,Yes,Yes
37635.91,703.39,No,No
56219.44,1304.65,Yes,No
36727.93,304.06,No,No
68215.65,535.89,No,No
41059.2,106.65,No,No
10033.71,349.58,No,Yes
43564.32,263.63,No,No
38600.51,1317.13,No,Yes
50718.43,497.61,No,Yes
42495.22,895.44,Yes,No
31670.41,651.19,No,Yes
17188.53,221.32,Yes,No
30729.26,753.96,Yes,No
22173.61,1125.16,No,Yes
25774.56,251.16,No,No
41366.87,1226.75,No,Yes
55788.52,424.35,No,No
38780.73,601.75,No,No
17567.51,1092.07,No,Yes
39446.67,514.46,Yes,No
49476.47,853.55,No,Yes
25384.33,683.15,No,Yes
31729.61,897.95,No,No
33712.9,0.0,No,No
23048.81,0.0,No,No
42163.12,1133.32,No,Yes
31903.91,1337.07,No,Yes
39112.3,394.96,No,No
21680.52,717.33,No,No
27682.62,977.93,Yes,No
43151.4,1170.69,Yes,Yes
28544.52,0.0,Yes,No
56549.52,406.78,No,No
28187.05,674.5,No,Yes
36513.62,1175.49,No,Yes
45954.96,2043.89,Yes,Yes
14600.26,725.08,No,No
10033.09,154.8,No,No
13169.32,1029.95,No,Yes
50356.08,1474.35,No,Yes
26156.87,887.62,No,Yes
67635.7,396.82,Yes,No
25991.63,1298.76,Yes,Yes
35978.36,1156.33,Yes,Yes
54084.12,339.04,No,No
60272.26,1019.87,Yes,No
61011.27,1317.76,No,No
49632.98,1407.06,No,Yes
47174.92,803.23,No,No
41419.53,662.16,No,No
43898.0,1429.01,Yes,Yes
26165.84,250.0,No,No
22604.68,1047.52,No,Yes
33471.99,172.67,Yes,No
31247.25,1350.7,No,Yes
27472.3,710.55,No,No
42804.72,1449.0,No,Yes
46257.91,1073.07,No,Yes
34696.08,243.69,No,No
53222.82,1524.48,No,Yes
18290.29,1585.72,Yes,Yes
30934.16,1262.14,Yes,Yes
23956.74,466.98,Yes,No
8623.0,687.35,No,Yes
32414.29,905.71,No,No
31893.25,494.98,No,Yes
53701.88,1653.97,No,Yes
41930.14,905.18,No,Yes
19857.42,0.0,No,No
58245.03,999.52,No,No
49801.93,666.96,No,No
41280.44,799.13,No,Yes
30496.38,657.07,No,Yes
20720.96,1225.75,Yes,No
28552.88,1376.97,No,Yes
48037.64,972.29,No,No
58651.73,671.24,Yes,No
54099.24,815.37,Yes,Yes
26997.22,844.85,Yes,No
18584.66,447.23,No,No
35396.0,1115.4,No,Yes
9931.32,1057.9,No,Yes
37827.09,1580.5,No,Yes
31548.42,1442.6,No,Yes
27301.47,503.7,No,Yes
12248.45,1232.16,No,Yes
40366.88,375.38,No,No
26412.37,1172.0,No,Yes
17913.82,585.48,No,Yes
800.0,340.41,No,Yes
33150.03,970.83,No,Yes
57153.52,0.0,Yes,No
55673.21,0.0,Yes,No
27420.71,749.52,No,Yes
25485.3,875.25,Yes,No
39769.04,656.73,No,No
20201.53,71.38,No,No
37542.0,439.75,Yes,No
43734.21,1024.6,Yes,Yes
49880.61,1116.78,Yes,Yes
32181.25,827.52,Yes,Yes
30800.6,1394.94,No,Yes
21807.35,1027.59,No,Yes
22488.9,473.82,No,Yes
30496.45,699.69,No,Yes
38416.55,156.79,No,No
45701.48,783.06,No,No
22805.0,1373.3,No,Yes
53424.99,1166.85,No,Yes
29901.02,1513.54,Yes,Yes
33232.02,688.86,Yes,No
23551.44,1486.49,Yes,Yes
1184.91,741.87,Yes,Yes
45307.51,1547.19,No,Yes
43344.29,824.8,Yes,No
29764.93,1177.46,No,Yes
34410.46,1548.9,No,Yes
40398.08,741.81,No,No
12677.33,941.01,No,Yes
26461.02,1458.81,Yes,Yes
44110.11,771.04,No,Yes
16788.54,196.44,Yes,Yes
37432.18,1871.96,No,Yes
15424.27,608.14,No,No
39737.78,912.16,No,Yes
33041.65,1394.54,No,Yes
11975.99,541.04,No,Yes
49051.13,347.85,Yes,Yes
23719.75,958.11,Yes,No
22710.66,0.0,No,No
36191.99,696.11,No,Yes
48836.38,953.9,No,Yes
19968.98,704.79,Yes,Yes
34339.62,88.79,No,No
39236.13,1606.49,No,Yes
42760.95,885.45,No,No
35870.2,1527.63,No,Yes
28621.95,709.59,No,No
22479.43,409.7,No,Yes
34665.9,965.58,No,Yes
19217.88,730.99,Yes,No
800.0,265.68,Yes,No
39339.4,1546.32,No,Yes
45572.78,534.37,No,Yes
2002.57,0.0,No,No
20050.22,1477.82,No,Yes
41774.66,591.44,No,Yes
60957.82,541.36,Yes,No
33794.33,0.0,No,No
23807.62,1677.48,Yes,Yes
31077.71,211.64,No,No
51853.73,863.64,No,Yes
24901.78,1276.81,No,Yes
22858.18,1039.36,No,No
27078.65,806.51,Yes,No
20802.46,12.26,No,No
35153.05,443.7,Yes,No
55185.34,926.21,Yes,No
37825.91,454.61,Yes,Yes
30151.36,933.74,No,Yes
29625.11,1165.14,No,Yes
12668.72,1300.94,No,Yes
45295.04,242.25,No,No
32478.89,1897.91,No,Yes
31109.94,1206.61,No,Yes
74000.0,834.54,No,No
37501.47,1362.39,No,Yes
23490.36,1979.54,No,Yes
27830.67,139.45,Yes,No
48833.82,726.41,No,No
35027.69,0.0,No,No
14334.69,928.56,Yes,No
45776.76,1012.11,No,No
24605.96,816.43,Yes,Yes
58501.17,518.77,Yes,No
47921.6,0.0,Yes,No
27551.07,1016.05,No,No
50601.92,1539.38,No,Yes
34421.99,549.49,No,No
44890.44,1048.23,Yes,Yes
39981.88,76.84,No,No
22229.14,1056.53,No,No
24933.98,645.09,Yes,Yes
47253.59,466.58,No,No
29052.1,467.57,Yes,Yes
28133.54,644.98,Yes,No
20778.53,1020.36,No,Yes
39166.54,200.66,No,No
61024.89,643.28,Yes,No
19279.31,815.31,Yes,Yes
33840.01,303.75,Yes,No
52351.79,1704.43,Yes,Yes
32454.82,422.53,Yes,No
39550.28,511.56,No,No
19347.86,362.15,No,No
39229.33,1705.31,No,Yes
31021.06,1102.82,No,Yes
46663.68,382.33,No,Yes
49353.17,1370.47,Yes,Yes
68054.01,932.45,Yes,Yes
41247.57,959.81,No,No
37862.15,668.74,Yes,Yes
36109.5,472.87,Yes,No
28806.82,998.75,Yes,No
38031.36,571.71,No,No
29577.23,1714.15,No,Yes
35763.76,221.4,No,No
51089.8,1578.42,No,No
20092.74,781.52,No,Yes
48719.56,980.04,No,No
51083.36,1238.38,No,Yes
31942.32,530.51,Yes,No
5217.82,1253.42,Yes,Yes
25410.48,0.0,Yes,No
50815.02,487.1,Yes,No
33212.01,388.39,Yes,No
20189.31,229.04,No,No
26784.82,731.39,No,Yes
44728.35,1021.96,No,Yes
40808.79,1175.25,No,Yes
30330.36,951.88,No,Yes
28624.66,513.37,No,No
28292.12,1013.87,No,No
21214.82,895.49,Yes,No
55061.27,1288.15,Yes,No
29218.21,1211.18,No,Yes
49750.24,850.11,No,No
53806.79,401.36,Yes,No
46831.47,519.53,Yes,No
27760.48,569.43,No,No
38901.55,682.87,Yes,No
33194.3,965.03,No,No
21464.33,1181.31,Yes,Yes
37842.98,810.64,No,No
17792.15,843.17,Yes,Yes
49357.08,904.69,No,No
27320.4,585.82,Yes,Yes
36199.87,387.75,No,No
37295.21,0.0,No,No
30063.98,499.12,No,Yes
41341.74,1064.24,No,Yes
27183.21,495.36,No,No
45137.49,720.34,No,No
15565.67,1060.99,No,Yes
35202.52,1087.23,No,No
59376.5,313.19,No,No
20175.58,1317.66,Yes,Yes
24477.92,1380.68,No,Yes
40370.99,288.85,No,Yes
35912.08,436.87,No,No
38193.35,1411.51,No,Yes
40041.29,764.34,No,No
41982.28,0.0,No,No
48317.07,158.33,No,No
38982.75,714.75,No,No
30299.35,272.79,No,No
42487.12,635.39,No,No
58855.73,851.04,No,No
31748.06,1542.68,No,Yes
20519.7,694.87,No,Yes
48282.13,1354.17,No,Yes
31911.48,1526.48,Yes,Yes
4540.11,1529.16,No,Yes
44819.06,973.11,No,No
26377.33,0.0,No,No
32309.56,1058.28,Yes,Yes
37944.62,1342.49,No,Yes
36057.69,796.16,No,Yes
42978.96,1679.24,No,Yes
27708.92,1251.28,No,Yes
40360.29,1110.25,No,Yes
30055.43,1360.86,No,Yes
43370.52,996.62,Yes,Yes
41724.16,0.0,No,No
21041.05,593.93,Yes,No
48000.74,1414.45,No,Yes
26368.86,444.73,No,Yes
44294.07,727.27,No,No
38415.51,329.97,No,No
58032.86,1698.27,Yes,Yes
30536.63,1648.72,No,Yes
28858.16,407.83,Yes,No
33258.0,906.62,Yes,Yes
29473.49,506.21,No,No
44185.83,1132.82,Yes,Yes
11960.27,1081.91,No,Yes
19464.04,1228.0,No,Yes
19275.71,995.92,Yes,Yes
46191.25,2255.26,Yes,Yes
56331.45,338.15,No,No
32123.96,7.93,No,No
31265.42,645.23,No,No
34451.29,76.92,No,No
49012.97,113.45,No,No
21148.89,351.02,No,No
36696.13,389.3,Yes,No
46523.21,373.61,No,No
40200.09,1086.04,No,Yes
36045.45,590.52,No,No
46867.95,748.54,No,Yes
800.0,1267.92,No,Yes
42557.82,464.69,Yes,No
24793.59,707.41,No,Yes
9101.85,1012.29,No,Yes
40334.91,0.0,No,No
51837.48,0.0,Yes,No
31683.85,1002.79,No,Yes
46225.49,1073.36,No,Yes
55019.96,1833.85,No,Yes
51054.01,911.84,Yes,No
55389.21,1231.89,No,Yes
43414.75,740.82,Yes,No
34523.06,979.14,No,No
12151.58,1641.84,No,Yes
30235.26,0.0,Yes,No
22270.62,1035.44,No,Yes
62470.86,1868.37,No,Yes
31171.21,971.79,No,No
35160.18,1633.77,No,Yes
40872.16,531.01,No,No
34098.53,819.87,No,Yes
56123.9,851.59,No,Yes
25212.73,0.0,No,No
36112.48,270.31,No,No
23614.67,304.8,Yes,No
15911.86,1233.01,No,Yes
25357.84,1257.24,No,Yes
33023.04,992.11,No,Yes
27791.4,1234.0,No,No
24282.18,755.97,No,Yes
14760.94,1416.76,No,Yes
32408.62,839.62,No,No
13448.54,863.36,No,Yes
43653.87,706.9,Yes,No
34616.5,1166.45,No,Yes
14077.64,631.63,No,No
29393.08,1307.68,No,Yes
23485.49,287.74,No,No
37773.83,303.81,Yes,No
51394.59,1167.89,Yes,Yes
8507.82,792.54,No,Yes
35051.1,615.82,No,No
31381.31,1265.9,No,Yes
42470.66,541.63,No,No
36360.4,738.53,Yes,No
23487.99,1512.19,Yes,Yes
29261.78,1579.87,No,Yes
22900.4,1595.95,No,Yes
47867.71,698.9,No,Yes
33801.23,1430.67,No,Yes
58873.18,376.35,No,No
32707.97,396.69,Yes,No
24068.98,0.0,No,No
13328.59,1644.55,No,Yes
9468.53,417.45,Yes,No
12389.38,774.16,No,Yes
37079.67,395.04,No,No
40301.87,1171.63,No,Yes
12428.66,653.67,No,Yes
45454.13,204.22,No,No
27074.41,1049.01,Yes,Yes
35474.78,141.86,Yes,No
55019.19,430.31,Yes,No
45478.15,0.0,No,No
29935.61,146.59,Yes,No
21631.17,921.73,No,No
4818.24,0.0,Yes,No
23925.65,118.93,No,No
30701.16,834.22,Yes,Yes
20350.99,572.42,No,No
31766.43,1798.94,Yes,Yes
34541.97,1722.44,No,Yes
30518.1,415.55,No,Yes
24847.92,1104.86,No,No
35766.35,1197.81,Yes,No
39411.16,546.36,Yes,No
18974.35,111.96,No,No
52334.61,829.42,No,No
32202.13,751.76,No,Yes
33768.4,624.59,No,Yes
42962.46,1049.32,No,Yes
36627.4,472.23,No,No
46228.98,278.14,No,No
37346.37,888.13,No,No
25348.92,1022.07,Yes,Yes
38338.37,266.22,No,No
18263.12,1284.3,Yes,Yes
34964.86,0.0,No,No
33073.81,555.73,No,Yes
30741.35,710.57,No,Yes
31802.7,527.62,No,Yes
8418.78,562.04,No,Yes
26198.66,1740.43,No,Yes
34755.27,423.79,No,No
35649.0,2016.21,Yes,No
19810.9,1046.81,Yes,Yes
50397.75,879.9,No,No
21964.83,1065.73,Yes,Yes
46446.65,2059.12,No,Yes
39214.49,354.76,No,No
24898.27,293.41,No,No
57194.32,470.23,No,No
17597.47,850.92,No,No
45775.76,0.6,No,No
46861.77,846.18,No,No
24572.94,1654.56,Yes,Yes
52088.31,908.61,No,Yes
30182.13,693.8,No,Yes
37367.31,536.36,No,No
36988.91,1269.99,No,Yes
31725.72,435.91,No,Yes
44330.75,1728.49,No,Yes
44099.76,1770.56,No,Yes
10196.83,959.56,No,Yes
50912.99,829.8,Yes,No
11344.34,1333.91,No,Yes
47288.07,1364.93,No,Yes
48543.87,445.5,Yes,No
18966.78,580.67,No,No
28037.97,195.74,Yes,No
18770.22,1033.24,No,Yes
30650.6,1157.82,No,Yes
29408.75,182.4,No,No
43915.33,615.19,No,No
50992.59,183.69,Yes,No
52131.23,400.61,Yes,No
26019.37,1101.9,No,No
30726.61,480.58,No,No
11064.98,689.86,No,No
